Day,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
Day_1,52.0,17.000145042368977,3.802972564479182,7.0228750326257945,14.427926453732058,17.148288835498494,19.234003017246422,25.76720135970852,948,94.8
Day_2,61.0,16.101786906161575,4.040608807217957,8.16072779236114,12.909044272355194,16.363780568583792,18.042212590982373,26.29191491621433,939,93.89999999999999
Day_3,59.0,15.888319420463835,4.1561360878651525,7.716995109527719,12.683782153565572,16.21034248332544,18.953612855930537,26.66041315656044,941,94.1
Day_4,56.0,15.8218022936353,4.603921749314947,4.66906483091425,13.173089145418587,16.07417925563758,18.60911417501149,25.372669436990357,944,94.39999999999999
Day_5,53.0,15.384671094530352,4.221268113585952,4.008668863018345,12.837395132636995,15.250664114510789,18.41385068532759,23.180542727666342,947,94.69999999999999
Day_6,49.0,16.378373819075644,4.037048248652044,6.982239196356851,14.281505466812412,16.551165273203548,18.68986008289972,26.56522934661296,951,95.1
Day_7,58.0,16.47100782327453,3.86342692655782,9.21165472434284,12.823490440116045,16.685216953359486,19.35105490425876,25.726074573893015,942,94.19999999999999
Day_8,58.0,15.60392591734842,3.8512513574363285,5.644366755850014,12.877985269395111,15.839873877981262,17.69877486121286,23.888065751504797,942,94.19999999999999
Day_9,56.0,14.66894652235125,3.5832989912321023,6.692114498429449,12.459034809767122,14.970740813638646,16.56752523741253,21.850125438809144,944,94.39999999999999
Day_10,62.0,15.716790800967807,4.440039943965455,4.497985870533328,13.355452396283304,16.315116681565826,18.34348007450751,24.73625984489579,938,93.8
Day_11,53.0,16.308694604909135,3.5698882038794664,7.942512636362353,13.887247238436698,16.78637400971868,18.607695404450848,22.175013177554877,947,94.69999999999999
Day_12,78.0,15.335997431487362,4.2118940963989955,3.4624356334835653,12.382213446305778,15.626741529822286,18.116191837621223,24.310454031345508,922,92.2
Day_13,69.0,15.591652815882561,4.024877951363069,5.897094326809223,12.883102145565624,15.389674363078196,18.91100743089105,23.45400927036401,931,93.10000000000001
Day_14,58.0,15.311808703270081,3.8548591804040284,5.983161688905301,12.900651519369458,15.010894028704778,17.821944171651786,24.60532687872639,942,94.19999999999999
Day_15,46.0,15.382642251905844,4.169485469649514,7.499300502080621,12.143062111639576,15.354214213228966,18.61609045815969,26.033563446127147,954,95.39999999999999
Day_16,51.0,14.36041865672237,3.1054704253823875,8.170284190521599,12.839208022119958,14.405907175029238,16.40359882664224,21.66073945069437,949,94.89999999999999
Day_17,53.0,15.358325222769322,4.523091679022632,4.941090969711311,11.929124597768642,15.7061583767304,18.623901495897776,25.26557960973092,947,94.69999999999999
Day_18,50.0,14.45445659456547,3.4618613848875763,6.109189485019392,12.069735717617778,14.580036397966996,16.67095338501099,21.293566701627576,950,95.0
Day_19,47.0,15.695566255897951,4.00084227688118,7.286438338565789,13.76603242589619,14.989344058186482,18.666247040846333,23.791050875923613,953,95.3
Day_20,65.0,15.351090878119384,4.013779530952192,6.363016993038378,12.105575381492166,15.950509580500723,18.66999483398806,24.3508077040548,935,93.5
Day_21,64.0,15.223273888959376,4.027092401536251,3.492343476746764,12.971717917475821,15.660206234498105,18.208872333668637,23.736748040304978,936,93.60000000000001
Day_22,49.0,15.829384742354547,3.9227495265409322,6.932540950553781,13.771765427791587,15.179019696688885,18.465091524420924,26.37416523963636,951,95.1
Day_23,50.0,14.950663512389488,4.272433358912176,5.378534249604605,12.650636213534057,14.806911052994455,16.92380399317442,26.75461120571445,950,95.0
Day_24,48.0,14.959374219803513,3.5757020351894693,8.69889926516909,11.700237805087115,14.51285587160065,17.740260286765825,22.09370209219456,952,95.19999999999999
Day_25,63.0,14.246961715340936,4.215266706062037,5.249172729703368,10.824058394715781,14.32853761972762,17.070071880132126,24.256363273683743,937,93.7
Day_26,53.0,14.935506327484187,4.505968740795637,5.242029673040829,12.11635634630553,14.833324609722158,17.355134285478936,26.72119716675944,947,94.69999999999999
Day_27,60.0,13.50120255105985,4.231771466276456,3.0450817845458262,10.860363901396337,13.003950748514026,16.594011914930313,25.26593218923786,940,94.0
Day_28,61.0,14.87862009737615,4.313555258970447,5.270756867338057,11.82218708815392,15.137187932909656,18.390593540326616,23.367314049338617,939,93.89999999999999
Day_29,49.0,14.297703102625176,3.9384790345505545,6.8043877567447995,11.182836221945948,13.958424835773403,17.485553867146187,21.133086140817593,951,95.1
Day_30,57.0,14.353878805263273,4.532254250530039,2.734966029590995,10.798264666889004,14.79022007240213,17.748800876678335,26.720569142407847,943,94.3
Day_31,63.0,14.541446019744521,3.804436896841095,6.015019583016994,11.615919624668832,14.108967111857288,17.278103800475968,23.54296760169251,937,93.7
Day_32,42.0,14.419543031751118,4.138163716948496,6.0581862004115195,11.872698132180846,14.102866565433988,18.151875127721528,22.52142628826116,958,95.8
Day_33,43.0,12.739210661209254,5.034312141119629,3.2775185170018086,9.155485496764133,13.021719942919932,16.539195641729105,23.1597849655083,957,95.7
Day_34,59.0,13.263227477401283,3.5224175023843967,4.324640956185008,11.162856849045408,13.29796833731904,15.532859985014529,21.771785268946463,941,94.1
